movie_id,actor_id,character,cast_order
82702,21007,Snotlout (voice),4
82702,112,Valka (voice),5
82702,938,Drago Bludvist (voice),6
82702,239019,"Eret, Son of Eret (voice)",7
82702,54691,Fishlegs (voice),8
82702,51990,Tuffnut (voice),9
82702,59174,Astrid (voice),10
1927,8783,Bruce Banner / The Hulk,1
1927,6161,Betty Ross,2
1927,16431,"Thaddeus E. ""Thunderbolt"" Ross",3
1927,6164,Glenn Talbot,4
1927,1733,The Father,5
1927,20048,Young David Banner,6
1927,20047,Edith Banner,7
1927,7624,Security Guard,8
1927,155873,Young Ross,9
1927,1989,Mrs. Krensler,10
72559,18918,Marvin Hinton / Roadblock,1
72559,51976,Dashiell Faireborn / Flint,2
72559,88995,Jaye Burnett / Lady Jaye,3
72559,62,Joe Colton,4
72559,11007,Snake Eyes,5
72559,38673,Conrad Hauser / Duke,6
72559,25002,Tommy Arashikage / Storm Shadow,7
72559,78147,Kim Arashikage / Jinx,8
72559,56614,Firefly,9
72559,972356,Rexford Lewis / Cobra Commander,10
7364,10297,Dirk Pitt,1
7364,955,Eva Rojas,2
7364,18324,Al Giordino,3
7364,3905,Admiral Jim Sandecker,4
7364,1120,General Zateb Kazim,5
7364,2192,Yves Massarde,6
7364,11678,Rudi Gunn,7
7364,114674,Dr. Frank Hopper,8
7364,109383,Oshodi,9
7364,18792,Carl,10
2114,55636,Dr. Cid (voice),1
2114,21702,Dr. Aki Ross (voice),2
2114,7447,Cap. Gray Edwards (voice),3
2114,10182,Sgt. Ryan Whitaker (voice),4
2114,884,Off. Neil Fleming (voice),5
2114,21703,Off. Jane Proudfoot (voice),6
2114,4512,General Hein (voice),7
2114,14500,Council Member (voice),8
2114,65827,Council Member (voice),9
36643,517,James Bond,1
36643,1957,Elektra King,2
36643,18023,Renard,3
36643,9205,Dr. Christmas Jones,4
36643,1923,Valentin Zukovsky,5
36643,9906,Q,6
36643,8930,R,7
36643,10777,Cigar Girl,8
36643,10699,Miss Moneypenny,9
36643,10648,Bill Tanner,10
65759,109,Mumble (voice),1
65759,2157,Ramon / Lovelace (voice),2
65759,77271,Gloria (voice),3
65759,15274,Erik (voice),4
65759,59783,Lombardo (voice),5
65759,4992,Raul (voice),6
65759,63522,Carmen (voice),7
65759,4238,Seymour (voice),8
65759,1331,Noah the Elder (voice),9
65759,287,Will the Krill (voice),10
267935,1425420,Sophie,1
267935,40900,The BFG,2
267935,15556,Mary,3
267935,55936,Fleshlumpeater,4
267935,19278,Bloodbottler,5
267935,1249,The Queen,6
267935,143307,Matron,7
267935,198615,General #1,8
267935,40009,General #2,9
267935,1497865,General #3,10
77950,10859,Turbo (voice),1
77950,13242,Chet (voice),2
77950,454,Tito (voice),3
77950,2231,Whiplash (voice),4
77950,40481,Angelo (voice),5
77950,19278,Guy Gagné (voice),6
77950,19767,Smoove Move (voice),7
77950,52792,Burn (voice),8
77950,222121,Skid Mark (voice),9
77950,28633,Bobby (voice),10
44896,85,Rango (voice),1
44896,52848,Beans (Voice),2
44896,13726,Tortoise John (voice),3
44896,2440,Rattlesnake Jake (voice),4
44896,658,Roadkill (Voice),5
44896,17140,Priscilla (Voice),6
44896,26054,Angelique (voice),7
44896,18082,The Spirit of the West (voice),8
44896,5538,Bad Bill (voice),9
44896,17401,Doc / Merrimack / Mr. Snuggles (voice),10
270946,18864,Skipper (voice),1
270946,12098,Kowalski (voice),2
270946,12097,Private (voice),3
270946,12080,Rico (voice),4
270946,6949,Dave (voice),5
270946,71580,Classified (voice),6
270946,83586,Short Fuse (voice),7
270946,1257563,Eva (voice),8
270946,53,Corporal (voice),9
270946,28637,Mort (voice),10
9502,70851,Po (voice),1
9502,4483,Shifu (voice),2
9502,11701,Master Tigress (voice),3
9502,18897,Master Monkey (voice),4
9502,140,Master Viper (voice),5
9502,212,Crane (voice),6
9502,9462,Oogway (voice),7
9502,20904,Mr. Ping (voice),8
9502,58873,Zeng (voice),9
9502,6972,Tai Lung (voice),10
102899,22226,Scott Lang / Ant-Man,1
102899,3392,Dr. Hank Pym,2
