company_id,company_name
72688,Chicago Overcoat Productions
2377,Chicago Pacific Entertainment
15312,ChickFlick Productions
15700,Chickie The Cop Production
19965,Chime Films
85048,China Dream Film Culture Industry
74458,China Film & TV Capital
2269,China Film Co-Production Corporation
40890,China Film Co.
2270,China Film Group Corporation
14714,China Film Group Corporation (CFGC)
11413,China Movie Channel
13649,Chockstone Pictures
52896,Choke Film
2461,Chris Brinker Productions
20033,Chris Lee Productions
5302,Christiano Film Group
10757,Christmas Tree Films
28001,Chromewood Productions
8717,Chrysalis Films
11335,Chrysler Corporation
26242,Chuan Production Film Studio
12384,Chubu-nippon Broadcasting Company (CBC)
11569,Chum Television
56344,Chunqiu Time Culture Co.
7832,CiBy 2000
52596,Ciclic - Région Centre
4554,Cimarron Productions
22862,Cindy Cowan Entertainment
5896,Cine Bazar
16496,Cine Canibal
40144,Cine Grande Corporation
30298,Cine Productions
16647,CineSon Entertainment
26032,Cineblue Internationale Filmproduktionsgesellschaft
685,Cineclick Asia
303,Cinecolor-Argentina
301,Cinecolor-México
19029,Cinecorp
68543,Cinefrance
45966,Cinelamda Internationale Filmproduktionsgesellschaft
39644,Cinelou Films
1819,Cinema 77
10317,Cinema 77 Films
4764,Cinema 84
6984,Cinema Four
11142,Cinema Group Ventures
5227,Cinema Gypsy Productions
11549,Cinema Investment
55533,Cinema Line Film Corporation
25032,Cinema Management Group
49252,Cinema One
59488,Cinema Seven Productions
25673,Cinema Vehicle Services
5705,CinemaNX
15338,Cinemarque Entertainment BV
53668,Cinematograph A/S
7445,Cinematograph AB
2632,Cinephil
5231,Cineplex-Odeon Films
88161,Cinerama Releasing Corporation
12219,Cinereach
995,Cinerenta Medienbeteiligungs KG
21784,Cinerenta-Cinebeta
1504,Cinergi Pictures Entertainment
11078,Cineric
10378,Cineritmo
23732,Cineroma SRL
74413,Cinestyle Media Group
10399,Cinetel Films
2832,Cineville
23616,Ciné+
10611,Ciné+
2564,Ciné@
6301,CinéCinéma
19930,Cinéart
76447,Cinéfeel Prod
77292,Cinéfondation
31229,Cinéfrance 1888
11944,Cinémage 3
7455,Cinémage 4
27123,Cinémage 8
280,Cinémaginaire Inc.
664,City Film
136,City Light Films
26033,City Productions
72682,City of Lodz
41042,CityMation
