actor_id,actor_name,gender,gender_label
69399,Alexandra Holden,1,Female
92416,Alexandra Rapaport,1,Female
237020,Alexandra Roach,1,Female
104998,Alexandra Wentworth,0,Unknown
147722,Alexandra Williams,0,Unknown
1253402,Alexandre Nachi,0,Unknown
203630,Alexia Fast,1,Female
87669,Alexie Gilmore,1,Female
19578,Alexis Arquette,1,Female
6279,Alexis Bledel,1,Female
163911,Alexis Chang,0,Unknown
4433,Alexis Dziena,1,Female
1485124,Alexis Kendra,1,Female
169780,Alexis Llewellyn,1,Female
546216,Alexis Maitland,0,Unknown
143180,Alexis Raben,1,Female
65284,Alexis Smith,1,Female
41504,Alexis Thorpe,1,Female
42377,Alexondra Lee,1,Female
57137,Alexz Johnson,1,Female
16559,Alf Humphreys,2,Male
71586,Alfie Allen,2,Male
582938,Alfie Field,2,Male
1981,Alfre Woodard,1,Female
658,Alfred Molina,2,Male
496731,Ali Cobrin,1,Female
74054,Ali Fadhil,0,Unknown
115434,Ali Hamedani,0,Unknown
58114,Ali Hillis,1,Female
15087,Ali Kazim,0,Unknown
72984,Ali Landry,1,Female
17303,Ali Larter,1,Female
762,Ali Suliman,2,Male
1116281,Ali Tataryn,1,Female
61178,Alia Shawkat,1,Female
8602,Alice Braga,1,Female
17488,Alice Drummond,1,Female
587823,Alice Englert,0,Unknown
65535,Alice Evans,1,Female
59860,Alice Eve,1,Female
52050,Alice Greczyn,1,Female
1182814,Alice Hunter,1,Female
2506,Alice Krige,1,Female
144286,Alice Parkinson,1,Female
53673,Alice Patten,0,Unknown
129168,Alice Pol,1,Female
13909,Alice Roberts,1,Female
1023482,Alice da Cunha,0,Unknown
25132,Alicia Borrachero,1,Female
72208,Alicia Keys,1,Female
1559650,Alicia Mitchell,0,Unknown
5588,Alicia Silverstone,0,Unknown
1186027,Alicia Vela-Bailey,1,Female
227454,Alicia Vikander,1,Female
3128,Alicia Witt,1,Female
572648,Alicia von Rittberg,1,Female
5203,Alicja Bachleda-Curuś,1,Female
1251285,Alina Foley,0,Unknown
1667099,Aliou Touré,0,Unknown
934737,Alisa Khazanova,0,Unknown
1485380,Alisha Boe,1,Female
